word,pinyin,translation,word_type
虚,xū,FALSE,adjective
玩,wán,"play with, joke, enjoy",verb
析,xī,split wood; break apart; divide,verb
窗,chuāng,window,noun
醒,xǐng,wake up; sober up; startle,verb
妻,qī,wife,noun
透,tòu,"penetrate, pass through",verb
购,gòu,"buy, purchase; hire",verb
替,tì,"change, replace, substitute for",verb
塞,sāi,"stop up, block, seal, cork; pass, frontier; fortress",verb/noun
努,nǔ,"to exert, strive, make an effort; to pout",verb
休,xiū,"rest, stop; retire; do not!",verb
虎,hǔ,"tiger; brave, fierce; surname",noun
扬,yáng,"scatter, spread; praise",verb
途,tú,"way, road, path, journey; course",noun
侵,qīn,"invade, encroach upon, raid",verb
刑,xíng,"punishment, penalty; law",noun
绿,lǜ,green; chlorine,adjective
兄,xiōng,elder brother,noun
迅,xùn,"quick, hasty, rapid, sudden",adjective
套,tào,"case, cover, wrapper, envelope",noun
贸,mào,"trade, barter; mixed; rashly",noun
毕,bì,"end, finish, conclude; completed",verb
唯,wéi,only; yes,adverb
谷,gǔ,"valley, gorge, ravine",noun
轮,lún,"wheel; revolve, turn; recur",noun/verb
库,kù,"armory, treasury, storehouse",noun
迹,jī,"traces, impressions, footprints",noun
尤,yóu,"especially, particularly",adverb
竞,jìng,"contend, vie, compete",verb
街,jiē,"street, road, thoroughfare",noun
促,cù,"urge, press, hurry; close",verb
延,yán,"delay, postpone, defer",verb
震,zhèn,"shake, quake, tremor; excite",verb/noun
弃,qì,"reject, abandon, discard",verb
甲,jiǎ,"armor, shell; fingernails; 1st heavenly stem",noun
伟,wěi,"great, robust; extraordinary",adjective
麻,má,"hemp, jute, flax; sesame",noun/adjective
川,chuān,"stream, river; flow; boil",noun
申,shēn,"to state to a superior, report; extend; 9th terrestrial branch",verb
缓,huǎn,"slow, leisurely; to postpone, delay",verb/adjective
潜,qián,"hide; hidden, secret, latent",verb
闪,shǎn,"flash; avoid, dodge, evade",verb
售,shòu,sell,verb
灯,dēng,"lantern, lamp",noun
针,zhēn,needle; pin; tack; acupuncture,noun
哲,zhé,"wise, sagacious; wise man, sage",noun
络,luò,"enmesh, wrap around; web, net",noun/verb
抵,dǐ,"resist, oppose; deny; off-set",verb
朱,zhū,"cinnabar, vermilion; surname",noun
埃,āi,"fine dust, dirt",noun
抱,bào,"embrace, hold in arms, enfold",verb
鼓,gǔ,"drum; beat, top, strike",noun/verb
植,zhí,"plant, trees, plants; grow",verb
纯,chún,"pure, clean, simple",adjective
夏,xià,"summer; great, grand, big",noun
忍,rěn,"endure, bear, suffer; forbear",verb
页,yè,"page, sheet, leaf; rad. no. 181",noun
杰,jié,"hero; heroic, outstanding",adjective
筑,zhú,ancient lute; build,verb/noun
折,zhé,"break off, snap; bend",verb
郑,zhèng,state in today's Henan; surname,noun
贝,bèi,"sea shell; money, currency",noun
尊,zūn,"respect, revere, venerate; honor",verb/noun
吴,wú,name of warring state; surname,noun
秀,xiù,"ear of grain; flowering, luxuriant; refined, elegant, graceful",adjective
混,hùn,"to mix, blend, mingle; to bumble along",verb/adjective
臣,chén,"minister, statesman, official",noun
雅,yǎ,"elegant, graceful, refined",adjective
振,zhèn,"raise, excite, arouse action",verb
染,rǎn,dye; be contagious; infect,verb
盛,shèng,"abundant, flourishing; contain; fill",verb/adjective
怒,nù,"anger, rage, passion; angry",verb/noun
舞,wǔ,"dance, posture, prance; brandish",noun/verb
圆,yuán,"circle; round, circular; complete",adjective/noun
搞,gǎo,"to clear, clarify",verb
狂,kuáng,"insane, mad; violent; wild",adjective
措,cuò,"place; collect, arrange; employ",verb
姓,xìng,"one's family name; clan, people",noun
残,cán,"injure, spoil; oppress; broken",adjective
秋,qiū,"autumn, fall; year",noun
培,péi,bank up with dirt; cultivate,verb
迷,mí,"bewitch, charm, infatuate",verb/adjective
诚,chéng,"sincere, honest; true, real",adjective
宽,kuān,"broad, wide; spacious, vast",adjective
宇,yǔ,"house; building, structure; eaves",noun
猛,měng,"violent, savage, cruel; bold",adjective
摆,bǎi,"put, place; display; swing, sway",verb
梅,méi,plums; prunes; surname,noun
毁,huǐ,destroy,verb
伸,shēn,"extend, stretch out, open up; trust",verb
摩,mó,"rub, scour, grind; friction",verb/noun
盟,méng,"swear; oath, covenant, alliance",noun
末,mò,"final, last, end; insignificant",noun
乃,nǎi,"then; really, indeed; as it turned out, after all; namely",adverb
悲,bēi,"sorrow, grief; sorry, sad",adjective
拍,pāi,"clap, tap, beat; beat or rhythm",verb
丁,dīng,"male adult; robust, vigorous; 4th heavenly stem",noun
赵,zhào,surname; ancient state,noun
硬,yìng,"hard, firm, strong; obstinate",adjective
麦,mài,"wheat, barley, oats; simplified form of KangXi radical number 199",noun
蒋,jiǎng,surname; hydropyrum latifalium,noun
操,cāo,"conduct, run, control, manage",verb
耶,yé,used in transliteration,particle
阻,zǔ,"impede, hinder, obstruct; oppose",verb
订,dìng,draw up agreement; arrange,verb
彩,cǎi,"hue, color; variegated colors",noun/adjective
抽,chōu,"draw out, pull out; sprout",verb
赞,zàn,"help, support, assist, aid",verb
魔,mó,"demon, evil spirits; magic power",noun
纷,fēn,"in disorder, scattered, tangled",adjective
沿,yán,"follow a course, go along",verb
喊,hǎn,"shout, call out, yell; howl; cry",verb
违,wéi,"disobey, violate, defy; be apart from",verb
妹,mèi,younger sister,noun
浪,làng,"wave; wasteful, reckless",noun/adjective
汇,huì,"concourse; flow together, gather",noun/verb
币,bì,"currency, coins, legal tender",noun
丰,fēng,"abundant, lush, bountiful, plenty",adjective
蓝,lán,blue; indigo plant; surname,adjective/noun
殊,shū,"different, special, unusual",adjective
献,xiàn,"offer, present; show, display",verb
桌,zhuō,"table, desk, stand",noun
啦,la,final particle of assertion,particle
瓦,wǎ,tile; earthenware pottery; girl,noun
莱,lái,"goosefoot, weed; fallow field",noun
援,yuán,"aid, assist; lead; cite",verb
译,yì,translate; decode; encode,verb
夺,duó,"take by force, rob, snatch",verb
汽,qì,"steam, vapor, gas",noun
烧,shāo,burn; bake; heat; roast,verb
距,jù,distance; bird's spur,verb
裁,cái,cut out; decrease,verb
偏,piān,inclined one side; slanting,adjective
符,fú,"i.d. tag, tally, symbol, charm",noun
勇,yǒng,"brave, courageous, fierce",adjective
触,chù,"butt, ram, gore; touch",verb
课,kè,lesson; course; classwork,noun
敬,jìng,"respect, honor; respectfully",verb
哭,kū,"weep, cry, wail",verb
懂,dǒng,"understand, comprehend",verb
墙,qiáng,wall,noun
袭,xí,"raid, attack; inherit",verb
召,zhào,imperial decree; summon,verb
罚,fá,"penalty, fine; punish, penalize",verb
侠,xiá,chivalrous person; knight-errant,noun
厅,tīng,"hall, central room",noun
拜,bài,"do obeisance, bow, kowtow",verb
巧,qiǎo,"skillful, ingenious, clever",adjective
侧,cè,"side; incline, slant, lean",noun/adjective
韩,hán,fence; surname; Korea,noun
冒,mào,"risk, brave, dare",verb
债,zhài,"debt, loan, liabilities",noun
曼,màn,"long, extended, vast; beautiful",adjective
融,róng,"melt, fuse; blend, harmonize",verb
惯,guàn,"habit, custom; habitually, usual",verb
享,xiǎng,enjoy,verb
戴,dài,wear on top; support,verb
童,tóng,"child, boy, servant boy; virgin",noun
犹,yóu,"like, similar to, just like, as",adverb
乘,chéng,"ride, ascend; avail oneself of; numerary adjunct for vehicles",verb
挂,guà,"hang, suspend; suspense",verb
奖,jiǎng,"prize, reward; give award to",noun
绍,shào,"continue, carry on; join",verb
厚,hòu,thick; substantial; greatly,adjective
纵,zòng,"indulge in, give free reign to",verb
障,zhàng,separate; shield; barricade,noun
讯,xùn,inquire; ask; examine; reproach,noun
涉,shè,"ford stream, wade across",verb
彻,chè,"penetrate, pervade; penetrating",adjective
刊,kān,"publication, periodical; publish",noun
丈,zhàng,"unit of length equal 3.3 meters; gentleman, man, husband",noun
爆,bào,"crackle, pop, burst, explode",verb
乌,wū,"crow, rook, raven; black, dark",adjective/noun
役,yì,"service; a servant, laborer; to serve",noun
描,miáo,"copy, trace, sketch; depict",verb
洗,xǐ,"wash, rinse; clean, purify",verb
玛,mǎ,agate; cornelian,noun
患,huàn,"suffer, worry about; suffering",verb
妙,miào,"mysterious, subtle; exquisite",adjective
镜,jìng,mirror; lens; glass; glasses,noun
唱,chàng,"sing, chant, call; ditty, song",verb
烦,fán,"bother, vex, trouble; troublesome",verb/adjective
签,qiān,"sign, endorse; slip of paper",verb/noun
仙,xiān,"Taoist super-being, transcendent, immortal",noun
彼,bǐ,"that, there, those",pronoun
弗,fú,"not, negative",adverb
症,zhèng,"disease, illness, ailment",noun
仿,fǎng,"imitate, copy; as if",verb
倾,qīng,"upset, pour out, overflow",verb
牌,pái,"signboard, placard",noun
陷,xiàn,"submerge, sink, plunge; trap",verb
鸟,niǎo,bird; KangXi radical 196,noun
轰,hōng,"rumble, explosion, blast",verb
咱,zán,"we, us",pronoun
菜,cài,"vegetables; dish, order; food",noun
闭,bì,"shut, close; obstruct, block up",verb
奋,fèn,"strive, exert effort; arouse",verb/adjective
庆,qìng,"congratulate, celebrate",verb/noun
撤,chè,omit; remove; withdraw,verb
泪,lèi,"tears; weep, cry",noun
茶,chá,tea,noun
疾,jí,"illness, disease, sickness; to hate",noun/adjective
缘,yuán,"hem, margin; reason, cause; fate",noun
播,bō,"sow, spread; broadcast; case away, reject",verb
朗,lǎng,"clear, bright; distinct",adjective
杜,dù,"stop, prevent; restrict; surname",noun
奶,nǎi,milk; woman's breasts; nurse,noun
季,jì,quarter of year; season; surname,noun
丹,dān,cinnabar (native HgS); vermilion (artificial HgS used as pigment),noun
狗,gǒu,"dog, canis familiaris",noun
尾,wěi,"tail, extremity; end, stern",noun
仪,yí,"ceremony, rites gifts; admire",noun
偷,tōu,"to steal, burglar, thief",verb
奔,bēn,"run fast, flee; rush about; run",verb
珠,zhū,"precious stone, gem, jewel, pearl",noun
虫,chóng,"insects, worms; KangXi radical 142",noun
驻,zhù,"to be stationed at, reside at; to stop",verb
孔,kǒng,"opening, hole, orifice; great",noun
宜,yí,"suitable, right, fitting, proper",adjective
艾,ài,"artemisia, mugwort; translit.",noun
桥,qiáo,"bridge; beam, crosspiece",noun
淡,dàn,"weak, watery; insipid, tasteless",adjective
翼,yì,wings; fins on fish; shelter,noun
恨,hèn,"hatred, dislike; resent, hate",verb
繁,fán,"complicated, complex, difficult",adjective
寒,hán,"cold, wintry, chilly",adjective
伴,bàn,"companion, comrade, partner; accompany",verb
叹,tàn,"sigh, admire",verb
旦,dàn,dawn; morning; day,noun
愈,yù,"more and more, even more",adverb
潮,cháo,"tide; moist, wet, damp; flow",noun
粮,liáng,"food, grain, provisions",noun
缩,suō,"contract, draw in, reduce",verb
罢,bà,"cease, finish, stop; give up",verb
聚,jù,"assemble, meet together, collect",verb
径,jìng,narrow path; diameter; direct,noun
恰,qià,"just, exactly, precisely; proper",adverb
挑,tiāo,a load carried on the shoulders; to carry,verb
袋,dài,"pocket, bag, sack, pouch",noun
灰,huī,"ashes; dust; lime, mortar",noun/adjective
捕,bǔ,"arrest, catch, seize",verb
徐,xú,"slowly, quietly, calmly; composed, dignified",adjective
珍,zhēn,"precious, valuable, rare",adjective
幕,mù,"curtain, screen, tent",noun
映,yìng,project; reflect light,verb
裂,liè,"split, crack, break open; rend",verb
泰,tài,"great, exalted, superior; big",adjective
隔,gé,"separate, partition",verb
启,qǐ,"open; begin, commence; explain",verb
尖,jiān,"sharp, pointed, acute, keen",adjective
忠,zhōng,"loyalty, devotion, fidelity",adjective
累,lèi,"tired; implicate, involve; bother",verb/adjective
炎,yán,"flame, blaze; hot",noun
暂,zàn,temporary,adjective
估,gū,"merchant; estimate, guess, presume",verb
泛,fàn,"to drift, float; careless, reckless",verb
荒,huāng,"wasteland, desert; uncultivated",adjective
偿,cháng,"repay, recompense; restitution",verb
横,héng,across,adjective
拒,jù,"ward off with hand, defend",verb
瑞,ruì,felicitous omen; auspicious,adjective
忆,yì,"remember, reflect upon; memory",verb
孤,gū,"orphan, fatherless; solitary",adjective
鼻,bí,nose; first; KangXi radical 209,noun
闹,nào,quarrel; dispute hotly,verb
羊,yáng,"sheep, goat; KangXi radical 123",noun
呆,dāi,"dull; dull-minded, simple, stupid",adjective
厉,lì,"whetstone; grind, sharpen; whet",adjective
衡,héng,"measure, weigh, judge, consider",verb/noun
胞,bāo,"womb, placenta, fetal membrane",noun
零,líng,"zero; fragment, fraction",noun
穷,qióng,"poor, destitute, impoverished",adjective
舍,shè,"house, dwelling; dwell, reside",verb
码,mǎ,"number, numerals; yard; symbol",noun
赫,hè,"bright, radiant, glowing",adjective
婆,pó,old woman; grandmother,noun
魂,hún,"soul, spirit",noun
灾,zāi,"calamity, disaster, catastrophe",noun
洪,hóng,"vast, immense; flood, deluge",noun
腿,tuǐ,"legs, thighs",noun
胆,dǎn,"gall bladder; bravery, courage",noun
津,jīn,ferry; saliva; ford,noun
俗,sú,"social customs; vulgar, unrefined",noun/adjective
辩,biàn,"dispute, argue, debate, discuss",verb
胸,xiōng,"breast, bosom, chest; thorax",noun
晓,xiǎo,"dawn, daybreak; clear, explicit",adjective
劲,jìng,"strong, unyielding, tough, power",noun/adjective
贫,pín,"poor, impoverished, needy",adjective
仁,rén,"humaneness, benevolence, kindness",noun
偶,ǒu,"accidentally, coincidently; an idol",noun/adjective
辑,jí,"gather up, collect; edit, compile",noun
邦,bāng,"nation, country, state",noun
恢,huī,"restore; big, great, immense, vast",verb
赖,lài,"rely, depend on; accuse falsely",verb/adjective
圈,quān,to circle; a circle; corral,noun/verb
摸,mō,gently touch with hand; caress,verb
仰,yǎng,"raise the head to look; look up to, rely on, admire",verb
润,rùn,"soft, moist; sleek; freshen",verb
堆,duī,"heap, pile, crowd; pile up",noun/verb
碰,pèng,"collide, bump into",verb
艇,tǐng,"small boat, dugout, punt",noun
稍,shāo,"little, slightly; rather",adverb
迟,chí,"late, tardy; slow; delay",adjective
辆,liàng,numerary adjunct for vehicles,noun
废,fèi,"abrogate, terminate, discard",verb/adjective
净,jìng,"clean, pure; cleanse",adjective
凶,xiōng,"culprit; murder; bad, sad",adjective
署,shǔ,public office,noun
壁,bì,partition wall; walls of a house,noun
御,yù,"drive, ride; chariot; manage",verb
奉,fèng,offer; receive; serve; respect,verb
旋,xuán,"revolve, move in orbit; return",verb
冬,dōng,"winter, 11th lunar month",noun
矿,kuàng,"mine; mineral, ore",noun
抬,tái,"lift, carry",verb
蛋,dàn,eggs; term of abuse,noun
晨,chén,"early morning, daybreak",noun
伏,fú,"crouch, crawl, lie hidden, conceal",verb
吹,chuī,"blow; puff; brag, boast",verb
鸡,jī,chicken,noun
倍,bèi,"times, fold, multiple times",adverb
糊,hú,"paste, stick on with paste",adjective
秦,qín,feudal state of Qin; the Qin dynasty (from which the name 'China' comes),noun
盾,dùn,shield; dutch guilder; Indonesia,noun
杯,bēi,"cup, glass",noun
租,zū,"rent, lease; rental; tax",verb
骑,qí,ride horseback; mount; cavalry,verb
乏,fá,lack; poor,adjective
隆,lóng,"prosperous, plentiful, abundant",adjective
诊,zhěn,"examine patient, diagnose",verb
奴,nú,"slave, servant",noun
摄,shè,"take in, absorb; act as deputy",verb
丧,sāng,mourning; mourn; funeral,verb/adjective
污,wū,"filthy, dirty, impure, polluted",adjective
渡,dù,"cross, ferry over; ferry",verb
旗,qí,"banner, flag, streamer",noun
甘,gān,"sweetness; sweet, tasty",adjective
耐,nài,"endure, bear; resist; patient",verb
凭,píng,"lean on, depend on, rely on",verb
扎,zhā,pull up; pierce; struggle free,verb
抢,qiǎng,"plunder, rob, take by force",verb
绪,xù,"end of thread; thread, clue",noun
粗,cū,"rough, thick, course; rude",adjective
肩,jiān,shoulders; to shoulder; bear,noun
梁,liáng,bridge; beam; rafters; surname,noun
幻,huàn,"illusion, fantasy, mirage",adjective
菲,fēi,"fragrant, luxuriant; the Philippines",noun
皆,jiē,"all, every, everybody",adverb
碎,suì,"break, smash; broken, busted",verb/adjective
宙,zhòu,time as concept; infinite time,noun
叔,shū,father's younger brother,noun
岩,yán,cliff; rocks; mountain,noun
荡,dàng,"pond, pool; wash away, cleanse",verb
综,zòng,arrange threads for weaving,verb
爬,pá,"crawl, creep; climb; scramble",verb
荷,hé,"lotus, water lily, holland",noun
悉,xī,"know, learn about, comprehend",verb
蒂,dì,peduncle or stem of plants,noun
返,fǎn,"return, revert to, restore",verb
井,jǐng,"well, mine shaft, pit",noun
壮,zhuàng,"big, large; robust; name of tribe",adjective
薄,bó,"thin, slight, weak; poor, stingy",adjective
悄,qiǎo,"silent, quiet, still; anxious",adjective
扫,sǎo,"sweep, clear away; exterminate",verb
敏,mǐn,"fast, quick, clever, smart",adjective
碍,ài,"obstruct, hinder, block, deter",verb/noun
殖,zhí,"breed, spawn; increase; prosper",verb
详,xiáng,"detailed, complete, thorough",adjective
迪,dí,"enlighten, advance; progress",noun
矛,máo,"spear, lance; KangXi radical 110",noun
霍,huò,"quickly, suddenly; surname",noun
允,yǔn,"to grant, to allow, to consent",verb
幅,fú,"piece, strip, breadth of, hem",noun
撒,sā,"release, cast away, let go; disperse; relax",verb
剩,shèng,"leftovers, residue, remains",verb
凯,kǎi,"triumphant; triumph, victory",noun
颗,kē,"grain, kernel",noun
骂,mà,"accuse, blame, curse, scold",verb
赏,shǎng,"reward, grant, bestow; appreciate",verb/noun
液,yè,"sap, juice, liquid, fluid",noun
番,fān,"to take turns; a turn, a time; to repeat",noun
箱,xiāng,"case, box, chest, trunk",noun
贴,tiē,"paste to, stick on; attached to",verb
漫,màn,overflow of water; spreading,adjective
酸,suān,"tart, sour; acid; stiff; spoiled",adjective
郎,láng,"gentleman, young man; husband",noun
腰,yāo,waist; kidney,noun
舒,shū,"open up, unfold, stretch out; comfortable, easy",verb
眉,méi,eyebrows; upper margin of book,noun
忧,yōu,"sad, grieved; grief, melancholy",verb/adjective
浮,fú,"to float, drift, waft; to exceed; superfluous",verb
辛,xīn,"bitter; toilsome, laborious; 8th heavenly stem",adjective
恋,liàn,"love; long for, yearn for; love",verb
餐,cān,"eat, dine; meal; food",noun
吓,xià,"scare, frighten; intimidate",verb
挺,tǐng,"to stand upright, straighten; rigid",verb
励,lì,strive; encourage,verb
辞,cí,"words, speech, expression, phrase",verb
艘,sāo,"counter for ships, vessels",noun
键,jiàn,"door bolt, lock bolt; key",noun
伍,wǔ,"five, company of five; troops",noun
峰,fēng,"peak, summit; hump of camel",noun
尺,chǐ,Chinese measure approx. 'foot',noun
昨,zuó,"yesterday; in former times, past",adverb
黎,lí,"surname; numerous, many; black",noun
辈,bèi,"generation, lifetime; class",noun
贯,guàn,a string of 1000 coins; to go through,verb
侦,zhēn,"spy, reconnoiter; detective",verb
滑,huá,"slip, slide; slippery, polished",verb
券,quàn,"certificate, ticket; title deeds",noun
崇,chóng,"esteem, honor, revere, venerate",verb
扰,rǎo,"disturb, annoy, agitate",verb
宪,xiàn,"constitution, statute, law",noun
绕,rào,entwine; wind around; surround,verb
趋,qū,"hasten, hurry; be attracted to",verb
慈,cí,"kind, charitable, benevolent",adjective
乔,qiáo,"tall, lofty; proud, stately",noun
阅,yuè,"examine, inspect, review, read",verb
汗,hàn,"perspiration, sweat",noun
枝,zhī,"branches, limbs; branch off",noun
拖,tuō,"drag, tow, haul; delay, prolong",verb
墨,mò,ink; writing,noun
胁,xié,"ribs, armpits; flank; threaten",noun
插,chā,"insert, stick into; plant",verb
箭,jiàn,arrow; type of bamboo,noun
腊,là,year end sacrifice; dried meat,noun
粉,fěn,"powder, face powder; plaster",noun
泥,ní,"mud, mire; earth, clay; plaster",noun
氏,shì,"clan, family; mister",noun
彭,péng,name of ancient country; surname,noun
拔,bá,"uproot, pull out",verb
骗,piàn,"swindle, cheat out of, defraud",verb
凤,fèng,male phoenix; symbol of joy,noun
慧,huì,"bright, intelligent; intelligence",adjective
媒,méi,"go-between, matchmaker; medium",noun
佩,pèi,"belt ornament, pendant; wear at waist, tie to the belt; respect",verb
愤,fèn,"resent, hate; indignant",verb
扑,pū,"pound, beat, strike; attack",verb
龄,líng,age; years,noun
驱,qū,"spur a horse on; expel, drive away",verb
惜,xī,"pity, regret, rue, begrudge",verb
豪,háo,"brave, heroic, chivalrous",adjective
掩,yǎn,"to cover (with the hand); shut, conceal; ambush",verb
兼,jiān,"unite, combine; connect; and",verb
跃,yuè,"skip, jump, frolic",verb
尸,shī,corpse; to impersonate the dead; to preside; KangXi radical 44,noun
肃,sù,pay respects; reverently,adjective
帕,pà,"turban, kerchief, veil; wrap",noun
驶,shǐ,"sail, drive, pilot; fast, quick",verb
堡,bǎo,"fort, fortress; town, village",noun
届,jiè,"numerary adjunct for time, term",noun
欣,xīn,"happy, joyous, delighted",verb
惠,huì,"favor, benefit, confer kindness",verb
册,cè,"book, volume, register, list",noun
储,chǔ,"save money, store, reserve; heir",verb
飘,piāo,"whirlwind, cyclone; floating",verb
桑,sāng,mulberry tree; surname,noun
闲,xián,"fence, guard; defend; idle time",adjective
惨,cǎn,"sad, pitiful, wretched; cruel",adjective
洁,jí,"clean, purify, pure",adjective
踪,zōng,"footprints, traces, tracks",noun
勃,bó,"suddenly, sudden, quick",adjective
宾,bīn,"guest, visitor; surname; submit",noun
频,pín,"frequently, again and again",adjective
仇,chóu,"enemy, hate, hatred, enmity",noun
磨,mó,grind; polish; rub; wear out; a millstone,verb
递,dì,"hand over, deliver; substitute",verb
邪,xié,"wrong, evil, depraved, vicious, perverse, heterodox",adjective
撞,zhuàng,"knock against, bump into, collide",verb
拟,nǐ,"draft; intend, plan, propose",verb
滚,gǔn,turn,verb
奏,zòu,memorialize emperor; report,verb
巡,xún,"patrol, go on circuit, cruise",verb
颜,yán,"face, facial appearance",noun
剂,jì,medicinal preparation,noun
绩,jī,spin; achievements,noun
贡,gòng,"offer tribute; tribute, gifts",noun/verb
疯,fēng,"crazy, insane, mentally ill",adjective
坡,pō,"slope, bank, hillside",noun
瞧,qiáo,"glance at, look at, see",verb
截,jié,"cut off, stop, obstruct, intersect",verb
燃,rán,"burn; light fire, ignite",verb
焦,jiāo,"burned, scorched; anxious, vexed",noun/verb
殿,diàn,hall; palace; temple,noun
伪,wěi,"false, counterfeit, bogus",adjective
柳,liǔ,willow tree; pleasure,noun
锁,suǒ,"lock, padlock; shackles, chains",verb
逼,bī,"compel, pressure, force; bother",verb
颇,pǒ,"lean one side; very, rather",adverb
昏,hūn,"dusk, nightfall, twilight, dark",adjective
劝,quàn,"recommend, advise, urge",verb
呈,chéng,"submit, show; appear; petition",verb
搜,sōu,"search, seek; investigate",verb
勤,qín,"industrious, diligent, attentive",adjective
戒,jiè,"warn, caution, admonish",verb
驾,jià,"to drive, sail, fly; a cart, carriage",verb
漂,piāo,"float, drift; tossed about",verb
饮,yǐn,drink; swallow; kind of drink,verb
曹,cáo,ministry officials; surname,noun
朵,duǒ,cluster of flowers; earlobe,noun
仔,zǐ,"small thing, child; young animal",noun
柔,róu,"soft; gentle, pliant",adjective
俩,liǎ,"two, pair",pronoun
孟,mèng,"first in series; great, eminent",noun
腐,fǔ,"rot, decay, spoil; rotten",verb
幼,yòu,"infant, young child; immature",adjective
践,jiàn,"trample, tread upon, walk on",verb
籍,jí,"record, register, list; census",noun
牧,mù,"tend cattle, shepherd",verb
凉,liáng,"cool, cold; disheartened",adjective
牲,shēng,sacrificial animal; animal,noun
佳,jiā,"good, auspicious; beautiful; delightful",adjective
娜,nuó,"elegant, graceful, delicate",noun
浓,nóng,"thick, strong, concentrated",adjective
芳,fāng,fragrant; virtuous; beautiful,adjective
稿,gǎo,"draft, manuscript, rough copy",noun
竹,zhú,bamboo; flute; KangXi radical 118,noun
腹,fù,"stomach, belly, abdomen; inside",noun
跌,diē,"stumble, slip, fall down; stamp",verb
逻,luó,patrol; inspect; watch; patrol,verb
垂,chuí,"let down; suspend, hand; down",verb
遵,zūn,"obey, comply with, follow; honor",verb
脉,mài,"blood vessels, veins, arteries",noun
貌,mào,"countenance, appearance",noun
柏,bǎi,"cypress, cedar",noun
狱,yù,"prison, jail; case; lawsuit",noun
猜,cāi,"guess, conjecture, suppose; feel",verb
怜,lián,"pity, sympathize",verb
惑,huò,"confuse, mislead, baffle; doubt",verb
陶,táo,"pottery, ceramics",noun
兽,shòu,"beast, animal; bestial",noun
帐,zhàng,"tent; screen, mosquito net",noun
饰,shì,"decorate, ornament, adorn",noun/verb
贷,dài,lend; borrow; pardon,verb
昌,chāng,"light of sun; good, proper",adjective
叙,xù,"express, state, relate, narrate",verb
躺,tǎng,"lie down, recline",verb
钢,gāng,"steel; hard, strong, tough",noun
沟,gōu,"ditch, drain, narrow waterway",noun
寄,jì,"send, transmit, mail; rely on",verb
扶,fú,"support, help; protect; hold on",verb
铺,pū,"shop, store; place sleep, bed",verb
邓,dèng,surname,noun
寿,shòu,"old age, long life; lifespan",noun
惧,jù,"fear, be afraid of, dread",verb
询,xún,"inquire into, ask about; consult",verb
汤,tāng,"hot water; soup, gravy, broth",noun
盗,dào,"rob, steal; thief, bandit",verb
肥,féi,"fat, plump, obese; fertile",adjective
尝,cháng,"taste; experience, experiment",verb
匆,cōng,"hastily, in haste, hurriedly",adjective
辉,huī,"brightness, luster, brilliance",noun
奈,nài,"but, how; bear, stand, endure",adjective
扣,kòu,"knock, strike, rap, tap; button",verb
廷,tíng,court,noun
澳,ào,"inlet, bay; dock, bank",noun
嘛,ma,final exclamatory particle,particle
董,dǒng,"direct, supervise; surname",noun
迁,qiān,"move, shift, change; transfer; relocate a capital city",verb
凝,níng,coagulate; congeal; freeze,verb
慰,wèi,"comfort, console, calm",verb
厌,yàn,"dislike, detest, reject; satiate",verb
脏,zāng,"internal organs, viscera; dirty",adjective
腾,téng,fly; gallop; run; prance; rise,verb
幽,yōu,"quiet, secluded, tranquil; dark",adjective
怨,yuàn,"hatred, enmity, resentment",verb
鞋,xié,"shoes, footwear in general",noun
丢,diū,discard,verb
埋,mái,"bury, secrete, conceal",verb
泉,quán,"spring, fountain; wealth, money",noun
涌,yǒng,"surge up, bubble up, gush forth",verb
辖,xiá,linchpin of wheel; control,verb
躲,duǒ,"hide, secrete; avoid, escape",verb
晋,jìn,"advance, increase; promote",noun
紫,zǐ,"purple, violet; amethyst; surname",adjective
艰,jiān,"difficult, hard; distressing",adjective
魏,wèi,kingdom of Wei; surname,noun
吾,wú,"i, my, our; resist, impede",pronoun
慌,huāng,"nervous, panicky, frantic",adjective
祝,zhù,pray for happiness or blessings,verb
邮,yóu,"postal, mail; post office",noun
吐,tǔ,"vomit, spew out, cough up",verb
狠,hěn,"vicious, cruel; severely, extreme",adjective
鉴,jiàn,"mirror, looking glass; reflect",noun
曰,yuē,say; KangXi radical 73,verb
械,xiè,"weapons; implements, instruments",noun
咬,yǎo,"bite, gnaw",verb
邻,lín,neighbor; neighborhood,noun
赤,chì,"red; communist, 'red'; bare",adjective
挤,jǐ,"crowd, squeeze, push against",verb
弯,wān,"bend, curve",verb
椅,yǐ,"chair, seat",noun
陪,péi,"accompany, be with, keep company",verb
割,gē,"cut, divide, partition; cede",verb
揭,jiē,"raise, lift up; surname",verb
韦,wéi,tanned leather; surname; simplified form of KangXi radical number 178,noun
悟,wù,"to apprehend, realize, become aware",verb
聪,cōng,"intelligent, clever, bright",adjective
雾,wù,"fog, mist, vapor, fine spray",noun
锋,fēng,"point of spear, sharp point",noun
梯,tī,"ladder, steps, stairs; lean",noun
猫,māo,cat,noun
祥,xiáng,"good luck, good omen; happiness",adjective
阔,kuò,"broad, ample, wide; be apart",adjective
誉,yù,"fame, reputation; praise",verb/noun
筹,chóu,"chip, tally, token; raise money",noun
丛,cóng,"bush, shrub; thicket; collection",noun
牵,qiān,"drag, pull, lead by hand",verb
鸣,míng,cry of bird or animal; make sound,verb
沈,chén,"sink, submerge; addicted to; surname",noun
